file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1254093,1,27,10,9.0,0,0
1254093,2,38,3,31.333333333333332,0,0
1254094,1,67,7,19.142857142857142,1,0
1254094,2,46,5,27.8,0,0
1254095,1,70,7,20.142857142857142,1,0
1254095,2,54,7,19.571428571428573,1,0
1254096,1,78,7,22.142857142857142,1,0
1254096,2,88,4,39.75,1,0
1254097,1,62,7,22.0,1,0
1254097,2,44,7,17.285714285714285,0,0
1254098,1,41,7,24.428571428571427,0,0
1254098,2,74,9,19.11111111111111,1,0
1254099,1,61,7,19.285714285714285,1,0
1254099,2,45,5,27.4,0,0
1254100,1,84,6,27.333333333333332,2,0
1254100,2,57,4,41.75,2,0
1254101,1,88,5,32.8,1,0
1254101,2,111,4,41.5,1,1
1254102,1,72,7,23.571428571428573,1,0
1254102,2,70,6,28.0,1,0
1254103,1,77,9,16.555555555555557,1,0
1254103,2,69,4,38.25,1,0
1254104,1,81,8,19.5,1,0
1254104,2,40,9,15.11111111111111,0,0
1254105,1,31,9,14.88888888888889,0,0
1254105,2,67,3,46.333333333333336,2,0
1254106,1,79,5,34.2,1,0
1254106,2,27,10,8.5,0,0
1254107,1,30,8,15.625,0,0
1254107,2,32,8,15.0,0,0
1254108,1,68,7,23.571428571428573,2,0
1254108,2,57,10,11.1,1,0
1254109,1,22,9,12.777777777777779,0,0
1254109,2,55,5,23.8,1,0
1254110,1,70,6,22.666666666666668,1,0
1254110,2,36,8,17.375,0,0
1254111,1,54,10,18.5,1,0
1254111,2,120,5,36.6,2,1
1254112,1,31,9,14.333333333333334,0,0
1254112,2,39,7,18.857142857142858,0,0
1254113,1,111,6,26.0,1,1
1254113,2,71,5,31.4,1,0
1254114,1,83,6,28.666666666666668,1,0
1254114,2,110,7,24.714285714285715,1,1
1254115,1,49,8,17.25,0,0
1254115,2,41,7,19.857142857142858,0,0
1254116,1,39,6,22.5,0,0
1254116,2,96,8,17.0,1,0
1254117,1,68,3,64.0,3,0
1254117,2,91,10,16.5,1,0
1304047,1,70,6,21.833333333333332,1,0
1304047,2,43,5,26.6,0,0
1304048,1,67,6,29.5,1,0
1304048,2,75,7,25.571428571428573,1,0
1304049,1,118,3,68.33333333333333,2,1
1304049,2,71,6,34.666666666666664,2,0
1304050,1,87,7,22.571428571428573,1,0
1304050,2,60,6,26.833333333333332,2,0
1304051,1,73,6,35.0,2,0
1304051,2,55,8,18.625,1,0
1304052,1,27,10,12.8,0,0
1304052,2,45,8,16.5,0,0
1304053,1,60,8,26.25,2,0
1304053,2,99,5,42.2,1,0
1304054,1,41,10,13.7,0,0
1304054,2,90,5,28.2,1,0
1304055,1,82,8,24.125,2,0
1304055,2,81,8,21.25,1,0
1304056,1,65,7,24.428571428571427,1,0
1304056,2,61,10,15.7,1,0
1304057,1,95,9,20.0,1,0
1304057,2,62,10,12.6,1,0
1304058,1,87,7,24.142857142857142,1,0
1304058,2,48,9,17.444444444444443,0,0
1304059,1,83,4,42.25,2,0
1304059,2,67,7,24.714285714285715,2,0
1304060,1,83,5,32.2,1,0
1304060,2,61,6,27.0,1,0
1304061,1,75,4,37.25,2,0
1304061,2,73,5,31.0,1,0
1304062,1,52,10,18.9,1,0
1304062,2,101,5,38.0,1,1
1304063,1,62,8,19.25,1,0
1304063,2,89,3,51.666666666666664,2,0
1304064,1,72,7,21.571428571428573,2,0
1304064,2,80,4,38.0,2,0
