full_name,data_name,team_2026,role,venue,venue_bat_innings,venue_runs,venue_balls,venue_bat_avg,venue_bat_sr,venue_bowl_innings,venue_wickets,venue_econ,venue_bowl_sr,venue_bat_score,venue_bowl_score
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,Sharjah Cricket Stadium,,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,Sheikh Zayed Stadium,,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Wankhede Stadium, Mumbai",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Arun Jaitley Stadium, Delhi",4,120,88,30.0,136.36,2,0,7.5,,83.0,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Barsapara Cricket Stadium, Guwahati",1,18,10,18.0,180.0,,,,,82.5,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,46,45,23.0,102.22,,,,,62.8,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Brabourne Stadium, Mumbai",2,106,60,53.0,176.67,1,0,25.0,,125.1,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Dr DY Patil Sports Academy, Mumbai",4,143,84,35.75,170.24,,,,,101.4,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,18,17,18.0,105.88,,,,,57.8,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,Dubai International Cricket Stadium,5,79,56,15.8,141.07,3,5,9.14,8.4,66.8,52.4
